struct	num_cont_gs	num_cont_gio	num_cont_gq11
ICL2	87.0	91.0	47.0
ICL3	33.0	32.0	15.0
TM5	139.0	67.0	28.0
TM3	65.0	33.0	24.0
TM2	20.0	27.0	13.0
TM6	83.0	79.0	23.0
TM7	18.0	20.0	8.0
H8	26.0	24.0	17.0
TM4	19.0	25.0	4.0
ICL1	6.0	11.0	0.0
TM1	1.0	0.0	0.0
HN	22.0	22.0	12.0
hns1	19.0	33.0	7.0
S1	5.0	10.0	1.0
s2s3	6.0	11.0	6.0
S3	5.0	9.0	5.0
H4	48.0	9.0	3.0
h4s6	36.0	29.0	11.0
S6	11.0	14.0	7.0
H5	320.0	272.0	126.0
hgh4	3.0	0.0	0.0
hbhc	1.0	0.0	0.0
S2	1.0	0.0	1.0
s6h5	14.0	0.0	0.0
hfs2	5.0	0.0	0.0
HG	1.0	0.0	0.0
ECL2	0.0	5.0	0.0
Cterm	0.0	3.0	1.0
h2s4	0.0	4.0	0.0
H3	0.0	3.0	1.0
S5	0.0	1.0	0.0
